"","municipio_ejecucion_2","numero_contratos","numero_entidades","numero_contratistas","grado_importancia","valor_agregado","peso_relatico_municipal","IHH_frecuencia","IHH_valor","DN"
"1","amazonas-elencanto",22,6,16,7,23.9,2.2,743.801652892562,4726.29244632679,0.0303030303030303
"2","amazonas-lachorrera",11,1,10,7,29.5,2.8,1074.38016528926,1822.24105476801,0.0181818181818182
"3","amazonas-lapedrera",6,1,4,7,26.6,2.5,2777.77777777778,8905.8571049299,0.133333333333333
"4","amazonas-lavictoria",4,1,4,7,5.3,0.5,2500,3441.23886802866,0
"5","amazonas-leticia",769,1,381,3,692.8,64.7,66.0679348147747,1960.3415125653,0.00531331274382315
"6","amazonas-miriti-parana",1,1,1,7,7.7,0.7,10000,10000,NA
"7","amazonas-puertoalegria",1,1,1,7,11.5,1.1,10000,10000,NA
"8","amazonas-puertoarica",3,1,2,7,7.1,0.7,5555.55555555555,6629.40238395957,0.333333333333333
"9","amazonas-puertonarino",15,1,14,5,223.3,20.9,755.555555555556,3139.91422370956,0.00952380952380952
"10","amazonas-puertosantander",5,1,5,7,15.8,1.5,2000,2415.05708515796,0
"11","amazonas-tarapaca",3,1,3,7,26.7,2.5,3333.33333333333,4616.908438326,0
"12","antioquia-abejorral",293,49,199,5,207.3,0.2,158.301203275519,2592.30936231667,0.0124596755341531
"13","antioquia-abriaqui",16,3,15,7,21.6,0,703.125,1277.00747059025,0.00833333333333333
"14","antioquia-alejandria",183,2,83,6,100.8,0.1,168.712114425632,1125.64322668995,0.0114694049120279
"15","antioquia-amaga",209,2,137,4,410.1,0.3,100.959227123921,528.22642714497,0.00533676849466323
"16","antioquia-amalfi",150,3,74,4,353.7,0.3,180.444444444444,475.729976175411,0.0114541387024609
"17","antioquia-andes",1,1,1,3,665.6,0.6,10000,10000,NA
"18","antioquia-angelopolis",889,2,240,6,99.6,0.1,299.283455709769,284.903363564534,0.0288359225367099
"19","antioquia-angostura",148,1,77,6,155.2,0.1,232.834185536888,726.806791112278,0.0166390880676595
"20","antioquia-anori",903,2,301,5,260.2,0.2,60.6934679406286,517.972037170184,0.00496742810979907
"21","antioquia-anza",187,1,94,6,95.2,0.1,215.90551631445,272.428802055882,0.0163302857800012
"22","antioquia-apartado",12,6,12,2,2132,1.8,833.333333333333,1254.30786430622,0
"23","antioquia-arboletes",2090,3,663,4,396.8,0.3,25.4389780453744,3562.91581549806,0.00206641762158126
"24","antioquia-argelia",243,3,121,7,83,0.1,170.875035987062,9689.30820089263,0.0130258817127504
"25","antioquia-armenia",197,4,100,7,72.3,0.1,190.93509237548,336.861970010391,0.0140888842846783
"26","antioquia-barbosa",346,4,188,3,1014.7,0.8,78.8532861104614,908.237480699861,0.00500963391136802
"27","antioquia-bello",22148,6,2475,2,4450.2,3.7,216.028289045644,268.526142544922,0.0215586514913212
"28","antioquia-belmira",184,4,90,6,92.4,0.1,187.26370510397,4691.85027928128,0.0133642195295795
"29","antioquia-betania",2,1,2,6,147.5,0.1,5000,6401.3877599976,0
"30","antioquia-betulia",1553,3,338,5,200.2,0.2,151.450633113982,707.673228523042,0.0145104918315731
"31","antioquia-briceno",154,2,86,7,71.2,0.1,182.155506830831,319.439786523932,0.0117986588574824
"32","antioquia-buritica",426,2,162,7,73.2,0.1,113.954462298045,484.649842819292,0.00906931786799227
"33","antioquia-caceres",343,1,208,4,433,0.4,71.3138233219152,678.578237488844,0.00422825771912775
"34","antioquia-caicedo",290,2,123,6,91.7,0.1,172.889417360285,746.971918010285,0.0138885574513781
"35","antioquia-caldas",7038,3,613,3,1082.5,0.9,287.945655464619,561.770128435412,0.0286565514162283
"36","antioquia-campamento",263,3,120,7,66,0.1,152.814121933236,658.189804767147,0.0115229443009317
"37","antioquia-caracoli",178,1,78,7,55.8,0,201.363464209064,362.573193140338,0.0146003935758268
"38","antioquia-caramanta",104,1,67,7,63.8,0.1,227.440828402367,558.132456270194,0.0132561613144137
"39","antioquia-carepa",232,1,96,3,1089.1,0.9,358.576099881094,2322.12410394553,0.0316838334079713
"40","antioquia-carolinadelprincipe",144,2,89,7,62.3,0.1,153.356481481481,480.117301651937,0.00844988344988345
"41","antioquia-caucasia",701,2,97,3,1090.5,0.9,2979.86776583686,2925.15312058908,0.296983900550234
"42","antioquia-chigorodo",630,3,227,3,863.1,0.7,188.712522045855,1789.66926140921,0.017311429076135
"43","antioquia-cisneros",397,3,177,6,104.8,0.1,100.057737819541,451.598159949051,0.00750578836221154
"44","antioquia-ciudadbolivar",2976,1,356,4,336.6,0.3,270.488278991791,623.377413145034,0.0267217854883889
"45","antioquia-cocorna",531,2,180,6,143.1,0.1,95.9352534570384,549.921202612798,0.00772483388409196
"46","antioquia-concepcion",65,1,43,7,53,0,286.390532544379,1037.94212203434,0.0134615384615385
"47","antioquia-concordia",496,1,158,5,253.3,0.2,94.6279916753382,466.410132672019,0.00746171391332682
"48","antioquia-copacabana",699,1,275,3,1004.8,0.8,69.1566329172474,759.294445889476,0.00549290636234326
"49","antioquia-dabeiba",600,1,201,5,318.3,0.3,104.5,828.302051405497,0.00879799666110184
"50","antioquia-donmatias",130,1,97,4,495.2,0.4,123.076923076923,281.72304363724,0.00465116279069767
"51","antioquia-ebejico",257,2,101,6,142.8,0.1,161.849535950582,611.879642377958,0.0123419260700389
"52","antioquia-elbagre",224,1,92,3,1025.9,0.9,231.186224489796,2448.64116188895,0.0187379884689302
"53","antioquia-elcarmendeviboral",98,2,64,4,474.5,0.4,185.339441899209,2198.94413302963,0.00841573742899222
"54","antioquia-elpenol",1,1,1,6,151.1,0.1,10000,10000,NA
"55","antioquia-elsantuario",625,2,294,5,308.5,0.3,56.2432,489.164365237062,0.00403076923076923
"56","antioquia-entrerrios",45,3,33,4,380.4,0.3,360.493827160494,7808.82760329398,0.0141414141414141
"57","antioquia-envigado",8,5,8,2,7245.5,6,1250,4219.7319287265,0
"58","antioquia-fredonia",1584,4,240,5,270.7,0.2,683.245013263953,519.569437157806,0.067735950790278
"59","antioquia-frontino",374,1,167,5,192.5,0.2,107.38082301467,683.402394543428,0.00808590557841465
"60","antioquia-giraldo",286,3,138,7,37.8,0,112.474937649763,466.489991833599,0.00777818672555515
"61","antioquia-girardota",1576,3,384,2,1683.4,1.4,130.09224664382,350.27401488265,0.0123825638546451
