"","municipio_ejecucion_2","total_contratos","valor","asignacion","codigo_municipio","codigo_departamento"
"1","amazonas-elencanto",22,"0","amazonas-elencanto","91263","91"
"2","amazonas-lachorrera",11,"0","amazonas-lachorrera","91405","91"
"3","amazonas-lapedrera",6,"0","amazonas-lapedrera","91407","91"
"4","amazonas-lavictoria",4,"0","amazonas-lavictoria","91430","91"
"5","amazonas-leticia",769,"0","amazonas-leticia","91001","91"
"6","amazonas-miriti-parana",1,"0","amazonas-miriti-parana","91460","91"
"7","amazonas-puertoalegria",1,"0","amazonas-puertoalegria","91530","91"
"8","amazonas-puertoarica",3,"0","amazonas-puertoarica","91536","91"
"9","amazonas-puertonarino",15,"0","amazonas-puertonarino","91540","91"
"10","amazonas-puertosantander",5,"0","amazonas-puertosantander","91669","91"
"11","amazonas-tarapaca",3,"0","amazonas-tarapaca","91798","91"
"12","antioquia-abejorral",293,"0","antioquia-abejorral","5002","5"
"13","antioquia-abriaqui",16,"0","antioquia-abriaqui","5004","5"
"14","antioquia-alejandria",183,"0","antioquia-alejandria","5021","5"
"15","antioquia-amaga",209,"0","antioquia-amaga","5030","5"
"16","antioquia-amalfi",150,"0","antioquia-amalfi","5031","5"
"17","antioquia-andes",1,"0","antioquia-andes","5034","5"
"18","antioquia-angelopolis",889,"0","antioquia-angelopolis","5036","5"
"19","antioquia-angostura",148,"0","antioquia-angostura","5038","5"
"20","antioquia-anori",903,"0","antioquia-anori","5040","5"
"21","antioquia-anza",187,"0","antioquia-anza","5044","5"
"22","antioquia-apartado",12,"0","antioquia-apartado","5045","5"
"23","antioquia-arboletes",2090,"0","antioquia-arboletes","5051","5"
"24","antioquia-argelia",243,"0","antioquia-argelia","5055","5"
"25","antioquia-armenia",197,"0","antioquia-armenia","5059","5"
"26","antioquia-barbosa",346,"0","antioquia-barbosa","5079","5"
"27","antioquia-bello",22148,"0","antioquia-bello","5088","5"
"28","antioquia-belmira",184,"0","antioquia-belmira","5086","5"
"29","antioquia-betania",2,"0","antioquia-betania","5091","5"
"30","antioquia-betulia",1553,"0","antioquia-betulia","5093","5"
"31","antioquia-briceno",154,"0","antioquia-briceno","5107","5"
"32","antioquia-buritica",426,"0","antioquia-buritica","5113","5"
"33","antioquia-caceres",343,"0","antioquia-caceres","5120","5"
"34","antioquia-caicedo",290,"0","antioquia-caicedo","5125","5"
"35","antioquia-caldas",7038,"0","antioquia-caldas","5129","5"
"36","antioquia-campamento",263,"0","antioquia-campamento","5134","5"
"37","antioquia-caracoli",178,"0","antioquia-caracoli","5142","5"
