"","nombre_familia","numero_contratos","numero_entidades","numero_contratistas","contratos_cerrados","contratos_adicion","IHH_frecuencia","IHH_valor","DN","puntaje_concentracion"
"1","Servicios integrales de salud",253343,666,77701,0.6693494590338,0.137090821534441,5.77388502820658,55.4666409493573,0.000573443548523711,30.6202629887819
"2","Prevención y control de enfermedades",8709,427,4732,0.758870134343782,0.111034561947411,29.276824914725,44.8707550146225,0.00281318176598921,37.0737899646738
"3","Suministros de oficina",4859,468,1526,0.802840090553612,0.0393084996912945,48.3107051661972,55.0140778306509,0.00462621894612087,51.662391498424
"4","Servicios de recursos humanos",95724,584,27768,0.829499394091346,0.0611549872550249,2.76723857524017,130.1147775701,0.000266279938339051,66.4410080726701
"5","Servicios de mantenimiento o reparaciones de transportes",2934,432,1044,0.786980231765508,0.0780504430811179,48.0718966548317,108.344446537093,0.00446788083141071,78.2081715959623
"6","Servicios de mantenimiento y reparaciones de construcciones e instalaciones",7399,540,3778,0.785376402216516,0.0798756588728207,9.56741395469532,160.157735875153,0.000821699051781436,84.8625749149244
"7","Servicios de mantenimiento, renovación y reparación de equipo médico quirúrgico",4147,516,1306,0.780564263322884,0.108753315649867,42.4727646732752,127.31582752768,0.00400710456102442,84.8942961004777
"8","Transporte de pasajeros",5113,408,1944,0.699589282221788,0.0672794836690788,14.6002131602815,157.434811416391,0.00126468876933724,86.0175122883364
"9","Instituciones educativas",745,50,384,0.700671140939597,0.318120805369128,106.968154587631,66.6889667368641,0.00936710687739049,86.8285606622477
"10","Servicios informáticos",5884,544,2097,0.764615907545887,0.081407205982325,20.6993027676248,160.389625034095,0.00190030082414932,90.5444639008597
"11","Equipo informático y accesorios",1886,355,823,0.845705196182397,0.0291622481442206,82.6483920701626,99.9814725468306,0.00773871975831971,91.3149323084966
"12","No Definido",133995,552,48779,0.759946266651741,0.0912272846001717,5.70062868678573,226.259736700495,0.000562604102337309,115.980182693641
"13","Maquinaria, suministros y accesorios de oficina",2509,366,1002,0.820247110402551,0.0358708648864089,67.0348800912967,171.326931045565,0.00630743676830396,119.180905568431
"14","Accesorios de oficina y escritorio",1105,224,487,0.7710407239819,0.0271493212669683,139.055301897996,104.648468907849,0.0130123286772903,121.851885402922
"15","Medios impresos",1568,313,661,0.811862244897959,0.0325255102040816,72.406354123282,172.558385104125,0.00660709401820716,122.482369613703
"16","Ropa",1289,319,663,0.848719937936385,0.0403413498836307,48.3472673532263,205.522079557339,0.00406208288962025,126.934673455283
"17","Formación profesional",740,146,468,0.851351351351351,0.0635135135135135,60.2264426588751,204.78956332508,0.00467761401455583,132.508002991978
"18","Equipos y suministros dentales",3751,379,709,0.797387363369768,0.047187416688883,166.377386895708,123.741737603969,0.0163755087532214,145.059562249838
"19","Materiales de papel",418,160,289,0.755980861244019,0.0382775119617225,62.8419679036652,231.621125371136,0.00390118527187819,147.231546637401
"20","Muebles comerciales e industriales",461,160,284,0.865509761388286,0.0563991323210412,104.130885888924,190.987140446638,0.00826181269452042,147.559013167781
"21","Materiales de acabado de interiores",519,178,313,0.815028901734104,0.0520231213872832,93.2206221390625,208.489113025806,0.00740955654250452,150.854867582434
"22","Seguridad y protección personal",3319,344,1060,0.777041277493221,0.106658632118108,28.1714536108763,275.181504889948,0.00251660803298669,151.676479250412
"23","Servicios de información",649,166,396,0.707241910631741,0.0770416024653313,47.4595264493674,261.200178773046,0.0032100667693888,154.329852611207
"24","Calefacción, ventilación y circulación del aire",804,218,413,0.818407960199005,0.0323383084577114,78.8656221380659,235.681975248986,0.00665105357397322,157.273798693526
"25","Servicios de reproducción",737,197,400,0.799185888738128,0.123473541383989,56.1335422308711,277.399391382506,0.00426228541089021,166.766466806689
"26","Software",678,233,347,0.845132743362832,0.0530973451327434,69.9611037147258,264.809249600005,0.00552933948575836,167.385176657365
"27","Equipo de imprenta y publicación",683,212,404,0.796486090775988,0.0512445095168375,62.5309492828341,284.568311115143,0.00479598802935128,173.549630198989
"28","Suministros de aseo y limpieza",4914,462,1368,0.814204314204314,0.0398860398860399,64.4301356552069,288.929542301009,0.0062407833627048,176.679838978108
"29","Servicios de transporte",945,260,633,0.701587301587302,0.0687830687830688,26.9981243526217,328.938476174852,0.00164335037216393,177.968300263737
"30","Servicios de mantenimiento y construcción de comercio especializado",1260,302,827,0.856349206349206,0.0857142857142857,27.891156462585,330.954140233706,0.00199704981277658,179.422648348145
"31","Categorías de medicamentos varios",25571,451,1157,0.84310351570138,0.0192014391302648,215.869310311677,152.857820768724,0.0215486669299175,184.363565540201
"32","Servicios de aseo y limpieza",7034,486,2735,0.721211259596247,0.0897071367642878,9.4762924530262,363.054883199658,0.000805577152205123,186.265587826342
"33","Telas y vestidos médicos",1299,187,401,0.892224788298691,0.0469591993841416,155.203179327261,223.585235754054,0.0147618590097159,189.394207540658
"34","Servicios legales",3580,468,1488,0.760335195530726,0.0826815642458101,18.4201491838582,362.931205715099,0.00156312193568629,190.675677449478
"35","Finanzas de desarrollo",321,107,209,0.757009345794392,0.0996884735202492,92.2933589542027,294.78603524686,0.00613317757009346,193.539697100531
"36","Transporte de correo y carga",1625,328,461,0.726769230769231,0.0898461538461538,165.138934911243,229.192355377311,0.0159082985979538,197.165645144277
"37","Productos de hacer imágenes diagnósticas médicas y de medicina nuclear",908,191,357,0.872246696035242,0.0958149779735683,103.412641425217,296.267633450789,0.00925012992437673,199.840137438003
"38","Equipo para servicios de transporte",434,146,218,0.700460829493088,0.0506912442396313,126.144110089405,283.140973522395,0.0103340747757048,204.6425418059
"39","Herramientas de mano",683,122,355,0.853587115666179,0.0292825768667643,71.9631116703716,358.516901500028,0.00574058728311786,215.2400065852
"40","Etiquetado y accesorios",429,107,224,0.923076923076923,0.0396270396270396,119.592916795714,316.614342862688,0.00965078535171993,218.103629829201
"41","Servicios de descontaminación",976,294,460,0.789959016393443,0.0850409836065574,62.6721647406611,373.572962059286,0.00524800336275746,218.122563399973
"42","Dispositivos y componentes y accesorios de control de automatización",192,104,162,0.75,0.046875,91.6883680555555,355.854364493115,0.00398123909249564,223.771366274335
"43","Lubricantes, aceites, grasas y anticorrosivos",469,133,190,0.567164179104478,0.023454157782516,207.62771582235,242.253357760945,0.0186703843420261,224.940536791648
"44","Servicios educativos especializados",487,128,347,0.476386036960986,0.117043121149897,81.1657510045579,372.605861811855,0.00607566270354315,226.885806408207
"45","Muebles de alojamiento",424,149,272,0.863207547169811,0.0306603773584906,85.6621573513706,373.231302929879,0.00622240064231232,229.446730140625
"46","Productos de examen y control del paciente",3277,288,722,0.864205065608789,0.0848336893500153,282.635868732696,176.574440675885,0.0279669640365399,229.60515470429
"47","Puertas y ventanas y vidrio",190,101,148,0.789473684210526,0.0210526315789474,106.925207756233,353.824305248354,0.00545808966861598,230.374756502293
"48","Restaurantes y catering (servicios de comidas y bebidas)",2265,369,1016,0.736865342163355,0.109050772626932,26.0631843632589,437.215130069253,0.00216577352397445,231.639157216256
"49","Equipo de aseo",645,161,291,0.868217054263566,0.0418604651162791,226.789255453398,268.499859480778,0.0211613462371804,247.644557467088
"50","Productos de centro médico",17909,337,1223,0.954492154782512,0.0093807582779608,102.200158642591,393.26567673116,0.0101647455948747,247.732917686875
"51","Eliminación y tratamiento de desechos",2177,529,298,0.74552135966927,0.0964630225080386,271.053138535012,242.206584281685,0.0266582115161177,256.629861408348
