codigo_municipio,n_contratos,v_contratos,n_contratistas,n_entidades,IC4K_cant_municip,IC4K_val_municip,IHH_cant_contr,IHH_val_contr,IHH_cant_ent,IHH_val_ent,IHH_cant_relacion_m,IHH_cant_relacion_sd,IHH_val_relacion_m,IHH_val_relacion_sd,IS_dominancia_cant_contr,IS_dominancia_val_contr,IS_dominancia_cant_ent,IS_dominancia_val_ent,IS_dominancia_cant_nodos_m,IS_dominancia_cant_nodos_sd,IS_dominancia_val_nodos_m,IS_dominancia_val_nodos_sd,IS_dom_cant_rela,IS_dom_val_rela,departamento,municipio,region,inf_ingre_m,inf_ingre_sd,inf_finan_m,inf_finan_sd,inf_regal_m,inf_regal_sd,inf_nproy_m,inf_nproy_sd,inf_vproy_m,inf_vproy_sd,inf_igp_m,inf_igp_sd,inf_tsgp_ppe_m,inf_idf_m,inf_idf_sd,inf_pg_ppa_m,inf_pg_ppa_sd,inf_e_ppa_m,inf_e_ppa_sd,inf_s_ppa_m,inf_s_ppa_sd,ie_grado_imp_econo,ie_valor_agregado,ie_peso_relativo,ine_cobertNeta_m,ine_cobertNeta_sd,ine_pruebaLecturaCritica_m,ine_pruebaLecturaCritica_sd,ine_pruebaMatematicas_m,ine_pruebaMatematicas_sd,ine_tasaDesercion_m,ine_tasaDesercion_sd,ine_tasaRepitencia_m,ine_tasaRepitencia_sd,ine_porcentAsistencia_m,ine_porcentAsistencia_sd,ine_tasaAnalfabetismo_m,ine_tasaAnalfabetismo_sd
1,304,7474124492,298,113,2.632,38.398,0.342,5.112,NA,NA,NA,NA,NA,NA,0.013,5.112,NA,NA,NA,NA,NA,NA,0.011,5.112,Todo el país,Todo el país,Todo el país,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2800000,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Otro país,Otro país,Otro país,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1754,2,129150000,2,1,NA,NA,50,50.071,NA,NA,NA,NA,NA,NA,0,50.071,NA,NA,NA,NA,NA,NA,0,50.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,84656,2168417467675,9494,58,6.382,8.527,0.376,0.481,34.743,34.905,0.584,0.887,3.042,8.842,0.375,0.481,34.743,34.905,1.535,1.331,9.903,16.782,0.33,0.342,Antioquia,Medellín,Región Eje Cafetero - Antioquia,4063085455000,2062840183827.4797,54607143333.333336,217284355287.22806,7.298333333333333,14.35123188672898,1.5,1.51657508881031,7781500198.666667,12317866587.188412,NaN,NA,93.74,83.42,1.5578510840256825,6.562,0.2074126322093234,67.51,0.9226266850682335,21.168333333333333,0.5848561076595398,1,54530.7,45.5,105.38071428571429,2.969230577065414,50.83777777777778,2.6682755563180596,48.71666666666667,2.118838125010968,3.42,0.707752983543189,3.74375,2.864606367872756,NaN,NA,NaN,NaN
5002,213,7299717273,188,54,8.92,65.987,0.703,23.701,NA,NA,6.436,0,13.369,0,0.235,23.701,NA,NA,NA,NA,NA,NA,0.182,23.699,Antioquia,Abejorral,Región Eje Cafetero - Antioquia,17122735000,8756573095.127455,175693333.3333333,957314603.37063,24888.320000000003,30717.78156329197,1,1.6733200530681511,238667106,584612628.0867455,74.65333333333334,7.628922063558644,68.03,70.096,1.5775233754211078,32.480000000000004,0.9988993943335839,7.426666666666667,1.837581744213483,47.83,2.7391531538050207,5,207.3,0.2,87.09857142857143,7.428826242459798,49.22666666666667,2.4511782880892197,47.035555555555554,2.135591903378961,3.88,1.6107584726279904,3.05125,2.9118694903053997,68.13,NA,10.15,NaN
5004,15,90242128,14,4,33.333,61.695,7.556,12.16,NA,NA,NA,NA,NA,NA,0.952,12.16,NA,NA,NA,NA,NA,NA,0.952,12.16,Antioquia,Abriaquí,Región Eje Cafetero - Antioquia,4879448333.333333,2579736480.77021,-759238333.3333334,743985382.2600728,239378.56166666668,155407.54399708484,0.3333333333333333,0.816496580927726,0,0,77.65,NA,49.68,59.616,4.0152870383074735,66.29,2.2276893858884357,3.2399999999999998,0.7978721702127476,18.965,1.3007036557187042,7,21.6,0,88.87642857142858,6.2199685964367495,46.96,3.186063401754586,43.757777777777775,2.9324937245362435,2.38625,2.3161047194435254,1.89625,0.8786830649167131,69.41,NA,6.97,NaN
5021,186,1818509146,87,2,15.054,40.425,1.798,9.81,NA,NA,1.814,0,9.85,0,1.267,9.81,NA,NA,NA,NA,NA,NA,1.267,9.81,Antioquia,Alejandría,Región Eje Cafetero - Antioquia,8604635000,4494477977.788967,393013333.3333333,1790308063.2971148,80876.93166666667,85105.92292907667,1.3333333333333333,1.505545305418162,32870870.183333334,80516859.35043241,67.185,3.3280358599608286,42.1,65.608,3.1365697824215553,58.224,3.1393518439321206,3.605,0.9454258299835053,26.793333333333333,1.6512015826865802,6,100.8,0.1,112.39071428571428,6.78041122452218,48.55,3.0885271570766553,45.346666666666664,3.3006968961114866,2.4175,0.9312012211577658,2.20375,2.5092909499355733,74.15,NA,8.63,NaN
5030,262,5832408724,156,1,10.687,33.777,0.967,4.01,NA,NA,0.973,0,3.995,0,0.588,4.01,NA,NA,NA,NA,NA,NA,0.588,4.01,Antioquia,Amagá,Región Eje Cafetero - Antioquia,20291521666.666668,10673363454.32201,-728530000,592989726.0830073,59096.85166666666,40842.67514807394,1,1.5491933384829668,91613056.66666667,224405242.61001405,66.605,8.581784973613203,73.27,75.858,1.2261402856117274,27.484,0.9718693327809053,10.375,1.2075719440265247,47.516666666666666,1.9957421343116104,4,410.1,0.3,75.7,6.328201834766213,48.10444444444445,2.555372336427273,45.14666666666667,1.7842225197547534,4.484999999999999,0.7467070567307024,3.2525,2.8895217102983866,59.41,NA,7.58,NaN
5031,145,1832658196,73,4,11.724,41.027,1.736,7.285,NA,NA,1.795,0,7.404,0,1.054,7.285,NA,NA,NA,NA,NA,NA,1.054,7.285,Antioquia,Amalfi,Región Eje Cafetero - Antioquia,27378733333.333332,14358937055.40583,-110908333.33333333,3059269375.15098,96588.11333333333,80433.571129468,0.6666666666666666,1.0327955589886444,299023113.3333333,732454048.9650918,81.96312499999999,11.823174519948811,81.36,71.19800000000001,1.9187678337933465,29.326,1.6864103889623074,8.735,1.9795428765247802,49.06,2.7125191243565445,4,353.7,0.3,90.615,7.341097958123784,47.178888888888885,2.2233220889270884,45.05111111111111,2.2526952992162763,5.51375,1.8172030116952498,4.8225,3.68663512860014,68.13,NA,10.41,NaN
5034,1314,12373701989,435,1,5.86,21.34,0.449,1.925,NA,NA,0,0,0,0,0.373,1.925,NA,NA,NA,NA,NA,NA,0.373,1.925,Antioquia,Andes,Región Eje Cafetero - Antioquia,34101501666.666668,17395024413.684986,802015000.0000001,1791925057.2805774,34681.36666666667,23726.781131945118,2.3333333333333335,2.3380903889000244,162039261.5,396913508.97241116,68.92895833333333,9.317144675051114,73.25,67.442,2.6743073869695704,15.911999999999999,1.0846520179301746,8.993333333333334,1.6110948658184805,61.24166666666667,3.061799579767863,3,665.6,0.6,79.20214285714286,3.609055232374487,48.785555555555554,2.1349538116263256,46.75555555555555,1.7241745206845436,4.3575,1.0251515567396434,4.1975,3.1769560903481184,65.99,NA,9.85,NaN
5036,341,3658940386,150,2,16.129,25.408,1.454,2.628,NA,NA,1.463,0,2.698,0,1.164,2.628,NA,NA,NA,NA,NA,NA,1.164,2.628,Antioquia,Angelópolis,Región Eje Cafetero - Antioquia,6576710000,3456532390.578743,-396770000,699701892.8086447,50092.471666666665,61644.59092186513,0.3333333333333333,0.5163977794943222,63129502.166666664,154635068.0242584,81.406875,5.157838621717935,44.88,67.008,1.7245637129430693,50.562000000000005,3.7424417163130292,5.22,0.641342342279067,30.836666666666666,1.8761201098721438,6,99.6,0.1,70.96214285714285,6.965908388023035,48.022222222222226,2.7820396194958184,44.59111111111111,2.9571077273429034,3.845,2.2325897838288933,2.23875,3.3319725496211055,65.59,NA,9.75,NaN
5038,185,2194562614,92,1,17.297,38.483,2.013,6.163,NA,NA,1.296,0,27.748,0,1.481,6.163,NA,NA,NA,NA,NA,NA,1.481,6.163,Antioquia,Angostura,Región Eje Cafetero - Antioquia,13004001666.666666,6647043273.70724,91060000,835634721.1790568,45037.520000000004,51457.94687052293,2,3.521363372331802,138961203.20000002,340384041.883209,76.48083333333334,12.214974501951827,67.46,63.687999999999995,1.5117109512072706,44.482,1.8148608762106249,6.641666666666667,1.3456807447038344,36.92666666666666,2.6392549453712633,6,155.2,0.1,82.66785714285714,14.07901831071352,44.66,2.0304556138955614,42.275555555555556,1.8662469766292398,4.68625,1.9691472955136118,2.53625,3.010519354814761,70.64,NA,13.36,NaN
5040,648,16326336689,253,1,8.179,31.705,0.756,3.833,NA,NA,0.754,0,3.818,0,0.602,3.833,NA,NA,NA,NA,NA,NA,0.602,3.833,Antioquia,Anorí,Región Eje Cafetero - Antioquia,19201101666.666668,9681873033.737669,-125158333.33333333,2139819099.8719182,60984.02333333334,52862.060150621706,0.8333333333333334,1.3291601358251257,316802568.73333335,533259106.1226112,67.46083333333334,5.381846974027769,71.38,69.606,2.2606591958983984,32.304,1.3336716237515138,7.286666666666667,1.5695179727122166,47.98,2.205737971745512,5,260.2,0.2,89.45428571428572,7.1890843690927735,44.67666666666667,1.92611655929749,41.662222222222226,1.6239133118625646,4.3875,1.6469864254796653,2.7600000000000002,3.1337015994324853,66.07,NA,10.81,NaN
5042,941,106803462363,456,2,4.463,47.126,0.363,7.542,NA,NA,0.357,0,7.455,0,0.257,7.542,NA,NA,NA,NA,NA,NA,0.257,7.542,Antioquia,Santafé de Antioquia,Región Eje Cafetero - Antioquia,33385668333.333332,16918546741.671894,4543171666.666667,4327025098.1311245,213796.54833333334,265084.53848300694,1,1.6733200530681511,245483869.83333334,601310221.1754708,43.74041666666667,5.175406653373026,75.65,74.784,0.721304374033596,30.876,3.4775321709511173,8.7,0.9526594354752382,49.15,5.094173141933831,5,300.9,0.3,87.93142857142857,9.009452179318593,47.17444444444445,3.107583913231915,44.675555555555555,2.8093909976679594,4.9624999999999995,1.4367696902625495,2.955,2.4566818504408983,68.63,NA,8.8,NaN
5044,220,1862459482,105,1,20,24.742,1.992,2.491,NA,NA,2.041,0,2.532,0,1.544,2.491,NA,NA,NA,NA,NA,NA,1.544,2.491,Antioquia,Anza,Región Eje Cafetero - Antioquia,9541655000,5342212143.589021,-446526666.6666667,717933994.0040914,32140.676666666666,42399.979752982275,1,1.2649110640673518,59505213.11666667,145757409.17140204,66.11,NA,64.18,62.518,1.871341764617035,47.764,2.7482230622713293,5.221666666666667,1.3581372046544733,33.653333333333336,2.5507933406426053,6,95.2,0.1,80.45,7.702504088331874,47.032222222222224,2.559222429654062,44.66777777777778,2.786295828594739,4.10375,2.3210831061627855,0.44249999999999995,0.8315690848372989,67.06,NA,15.3,NaN
5045,13,129667808,12,7,38.462,57.919,8.876,11.614,NA,NA,NA,NA,NA,NA,1.282,11.614,NA,NA,NA,NA,NA,NA,0,11.424,Antioquia,Apartadó,Región Eje Cafetero - Antioquia,129247901666.66666,64309385562.09301,8841193333.333334,15258971197.075727,5562.236666666667,7496.193730886806,0.16666666666666666,0.408248290463863,499090405.3333333,1222516828.5854988,61.59638888888889,0.8120046923327314,90.53,73.908,1.0318769306462843,6.636,0.32592944021674386,66.56,1.3331766574614186,17.785,1.7654886009261002,2,2132,1.8,62.92,4.176109709728939,47.39888888888889,2.554566716903497,45.06777777777778,2.044228324929591,4.605,0.8984271971458948,1.68375,1.1613039161710796,69.36,NA,5.44,NaN
5051,2168,69304666203,700,4,2.814,69.851,0.249,34.13,NA,NA,0.246,0,35.739,0,0.203,34.13,NA,NA,NA,NA,NA,NA,0.202,34.13,Antioquia,Arboletes,Región Eje Cafetero - Antioquia,31914191666.666668,16070488031.066656,-1673896666.6666667,6509952274.856297,52779.115,41794.88179474168,1.1666666666666667,1.1690451944500122,1359846856.5,3330930926.7526984,71.25916666666667,7.062909181853548,100,67.862,1.8057602277157399,20.284,2.158768167265768,12.336666666666666,1.8452389185866063,50.473333333333336,3.4340627056981172,4,396.8,0.3,80.57357142857143,6.408152988597784,44.68555555555555,1.8499264249633742,42.82,1.8859347814810556,3.1862500000000002,1.1740033767291425,4.47875,3.236922866374351,74.1,NA,13.07,NaN
5055,285,102335091222,154,3,12.281,98.148,1.149,95.49,NA,NA,1.176,0,2.276,0,0.801,95.49,NA,NA,NA,NA,NA,NA,0.801,95.49,Antioquia,Argelia,Región Eje Cafetero - Antioquia,8371743333.333333,4180871487.633489,-108713333.33333333,425893472.67440796,37026.925,46459.38506667937,0.5,0.8366600265340756,73455907.43333334,179929491.80478063,73.10833333333333,7.797075543884202,76.05,60.102,2.5032418980194464,41.553333333333335,2.582399401073865,6.571666666666666,1.5248923459269728,38.623333333333335,2.090633077961474,7,83,0.1,83.68428571428572,20.79508807175598,46.02333333333333,2.24127753747723,42.79666666666667,2.1086666403203718,4.73125,1.4851977982746944,5.82625,3.4937615320535462,69.01,NA,9.98,NaN
5059,233,2219774197,111,3,16.738,24.416,1.73,2.602,NA,NA,1.75,0,2.617,0,1.306,2.602,NA,NA,NA,NA,NA,NA,1.306,2.602,Antioquia,Armenia,Región Eje Cafetero - Antioquia,5746920000,2835137000.6756287,-182796666.66666666,697837020.1892893,19303.778333333332,47284.40702446015,0.5,1.224744871391589,12014004.833333334,29428181.608997524,52.5125,15.403753841431232,53.81,61.692,3.7287491200133043,57.17166666666667,2.056690707585043,3.845,0.47196398167656817,27.123333333333335,2.113344900073499,7,72.3,0.1,77.95785714285714,7.787849686996582,48.714444444444446,4.376728547417326,47.48888888888889,3.6940609241201097,4.8525,1.5803955201151387,7.21,3.3608077260427396,71.99,NA,17.81,NaN
5079,244,9132086720,173,5,10.246,45.317,0.873,10.183,NA,NA,1.069,0,13.157,0,0.465,10.183,NA,NA,NA,NA,NA,NA,0.452,10.181,Antioquia,Barbosa,Región Eje Cafetero - Antioquia,39349791666.666664,20605882598.294514,5155348333.333334,4207664813.192309,3190.1766666666667,7374.279864097014,0,0,0,0,56.965,14.092638149047897,66.78,75.314,2.6847960816419545,21.60333333333333,1.1417121645435273,11.246666666666666,1.7155834770324256,49.75833333333333,2.0560098897297823,3,1014.7,0.8,77.70785714285714,5.653975019089092,48.70444444444445,2.1424291768405723,45.97666666666667,1.595626836074149,3.17125,0.6011284032075486,3.04,2.094523471204983,70.24,NA,5.63,NaN
5086,212,9482155392,116,5,15.566,83.881,1.611,43.407,NA,NA,1.73,0,62.168,0,1.145,43.407,NA,NA,NA,NA,NA,NA,1.145,43.407,Antioquia,Belmira,Región Eje Cafetero - Antioquia,7277880000,3680483568.2285013,-113086666.6666667,1349077174.2738318,51970.035,46772.99316866636,0.8333333333333334,1.6020819787597222,50502427.833333336,123705178.96339768,68.351875,2.8879284494541535,61.22,66.438,1.5768544637981032,52.34,3.798098208314261,6.718333333333334,1.174315403401772,27.628333333333334,1.012431067612343,6,92.4,0.1,89.26928571428572,4.943240083940141,47.086666666666666,2.0229742954372893,45.19888888888889,2.2596263211228322,4.12125,1.3325211067746732,6.225,3.649806257088959,70.15,NA,7.2,NaN
5088,17722,589004012650,2570,6,13.836,25.104,1.169,2.283,42.692,41.271,1.117,1.237,5.016,1.979,1.164,2.283,42.688,41.271,1.7,1.429,4.236,2.323,0.906,2.191,Antioquia,Bello,Región Eje Cafetero - Antioquia,322629766666.6667,162827030610.21603,190073333.33333334,32206662643.35109,11.459999999999999,17.75498239931541,0,0,0,0,NaN,NA,89.98,76.358,2.7559517412320567,7.24,0.30285309970347013,68.05833333333334,0.5860176334093273,18.076666666666668,0.7309354736682763,2,4450.2,3.7,82.565,3.066159587396685,50.21111111111111,2.5937687080985286,47.65888888888889,2.280117565195073,3.225,0.6986313149907568,2.4125,0.5389871453542681,68.3,NA,2.06,NaN
