"","municipio_ejecucion_2","total_contratos","valor","asignacion","codigo_municipio","codigo_departamento"
"1","amazonas-elencanto",16,"0","amazonas-elencanto","91263","91"
"2","amazonas-lachorrera",3,"0","amazonas-lachorrera","91405","91"
"3","amazonas-lapedrera",2,"0","amazonas-lapedrera","91407","91"
"4","amazonas-leticia",7,"0","amazonas-leticia","91001","91"
"5","amazonas-puertoalegria",1,"0","amazonas-puertoalegria","91530","91"
"6","amazonas-puertonarino",1,"0","amazonas-puertonarino","91540","91"
"7","antioquia-abejorral",93,"0","antioquia-abejorral","5002","5"
"8","antioquia-amaga",1,"0","antioquia-amaga","5030","5"
"9","antioquia-amalfi",1,"0","antioquia-amalfi","5031","5"
"10","antioquia-angelopolis",3,"0","antioquia-angelopolis","5036","5"
"11","antioquia-anori",3,"0","antioquia-anori","5040","5"
"12","antioquia-anza",1,"0","antioquia-anza","5044","5"
"13","antioquia-apartado",2,"0","antioquia-apartado","5045","5"
"14","antioquia-arboletes",2,"0","antioquia-arboletes","5051","5"
"15","antioquia-argelia",3,"0","antioquia-argelia","5055","5"
"16","antioquia-armenia",7,"0","antioquia-armenia","5059","5"
"17","antioquia-barbosa",1,"0","antioquia-barbosa","5079","5"
"18","antioquia-bello",35,"0","antioquia-bello","5088","5"
"19","antioquia-belmira",3,"0","antioquia-belmira","5086","5"
"20","antioquia-betulia",3,"0","antioquia-betulia","5093","5"
"21","antioquia-caceres",1,"0","antioquia-caceres","5120","5"
"22","antioquia-caldas",13,"0","antioquia-caldas","5129","5"
"23","antioquia-caracoli",1,"0","antioquia-caracoli","5142","5"
"24","antioquia-caramanta",1,"0","antioquia-caramanta","5145","5"
"25","antioquia-caucasia",7,"0","antioquia-caucasia","5154","5"
"26","antioquia-chigorodo",1,"0","antioquia-chigorodo","5172","5"
"27","antioquia-cisneros",22,"0","antioquia-cisneros","5190","5"
"28","antioquia-ciudadbolivar",6,"0","antioquia-ciudadbolivar","5101","5"
"29","antioquia-cocorna",2,"0","antioquia-cocorna","5197","5"
"30","antioquia-concordia",1,"0","antioquia-concordia","5209","5"
"31","antioquia-dabeiba",1,"0","antioquia-dabeiba","5234","5"
"32","antioquia-donmatias",2,"0","antioquia-donmatias","5237","5"
"33","antioquia-elcarmendeviboral",2,"0","antioquia-elcarmendeviboral","5148","5"
"34","antioquia-elpenol",1,"0.0568627450980392","antioquia-penol","5541","5"
"35","antioquia-elsantuario",1,"0","antioquia-elsantuario","5697","5"
"36","antioquia-fredonia",9,"0","antioquia-fredonia","5282","5"
"37","antioquia-giraldo",1,"0","antioquia-giraldo","5306","5"
"38","antioquia-girardota",4,"0","antioquia-girardota","5308","5"
"39","antioquia-guatape",5,"0","antioquia-guatape","5321","5"
"40","antioquia-heliconia",1,"0","antioquia-heliconia","5347","5"
"41","antioquia-hispania",1,"0","antioquia-hispania","5353","5"
